Metric,Treatment,Farm,Temperature,14,30,90
CP,control,A,10,0.0187017085014157,0.00726747977001969,0.00333706374041492
CP,control,A,17.5,0.0117943696853774,0.0201640885489387,0.00811117155490269
CP,control,A,25,0.0311738033533235,0.0222860444957507,0.0135193914177688
CP,control,B,10,0.0320915053852116,0.0235930474764148,0.00740664200210295
CP,control,B,17.5,0.0446013911174344,0.0226471471715822,0.00494553607072587
CP,control,B,25,0.0623942262338606,0.0196862163624506,0.0110093543132616
CP,weekly flushing,A,10,0.01017747172757,0.00851299880757749,0.00153651406770384
CP,weekly flushing,A,17.5,0.0203132557380428,0.0124282379402058,0.00371788674783048
CP,weekly flushing,A,25,0.0226581385994702,0.0248569719958699,0.0101392350048325
CP,weekly flushing,B,10,0.0603522311087638,0.0198709656172678,0.00327030363103291
CP,weekly flushing,B,17.5,0.0373149658556428,0.0389667150191413,0.00901312768439786
CP,weekly flushing,B,25,0.113833960073873,0.0307489775059669,0.00792608014261639
CP,weekly flushing,C,17.5,,0.00855966117116707,0.0091857042859038
CP,weekly flushing,D,17.5,,0.00602442470390813,0.0073630241770314
NDF,control,A,10,,0.00840596993280035,0.00448077322509993
NDF,control,A,17.5,,0.0185650166331242,0.00630791474912631
NDF,control,A,25,,0.0225717598410462,0.00715082805377136
NDF,control,B,10,,0.004424285270422,0.00356296751770435
NDF,control,B,17.5,,0.0106053645537694,0.00316017871958833
NDF,control,B,25,,0.0154252955298968,0.0053318742034271
NDF,weekly flushing,A,10,,0.0113578937211143,0.00355279068575108
NDF,weekly flushing,A,17.5,,0.0147099969045605,0.00373169065612836
NDF,weekly flushing,A,25,,0.0198001709632348,0.0063947133377392
NDF,weekly flushing,B,10,,0.00512589591726437,0.00431914918654345
NDF,weekly flushing,B,17.5,,0.00992676145344321,0.00643998057128389
NDF,weekly flushing,B,25,,0.0160463548386861,0.00561317385446487
NDF,weekly flushing,C,17.5,,0.000791986516700311,0.000974570189204397
NDF,weekly flushing,D,17.5,,0.00314737615735999,0.00226670599477316
VS,control,A,10,0.00694577779568656,0.00384468428641992,0.00358868515554145
VS,control,A,17.5,0.0161173983833138,0.0126789442583341,0.00540433085456961
VS,control,A,25,0.0266249423426164,0.0190938758178405,0.00881935697945243
VS,control,B,10,-0.00349971778249725,0.00265263310570306,0.00106363769620976
VS,control,B,17.5,4.10474400924484e-06,0.00554935063409045,0.00312552569175596
VS,control,B,25,0.00508813694747443,0.00913533134485346,0.0032256499683907
VS,weekly flushing,A,10,0.00404484313720581,0.00586528194915866,0.00265495299743218
VS,weekly flushing,A,17.5,0.014477653950006,0.00952271073604922,0.00319340970256532
VS,weekly flushing,A,25,0.0179451447210141,0.0143462240465092,0.0060762544211195
VS,weekly flushing,B,10,-0.00228093316164254,0.00482685535472418,0.00176016856832818
VS,weekly flushing,B,17.5,-0.00020672056797734,0.008285319400318,0.00378865751103312
VS,weekly flushing,B,25,0.0124348241441506,0.00994748242710425,0.00420215123239877
VS,weekly flushing,C,17.5,,0.00635221321868861,0.00359071770367494
VS,weekly flushing,D,17.5,,0.00478022779161859,0.00320299157055052
Lipids,control,A,10,,0.00440603113703229,0.000139489648505961
Lipids,control,A,17.5,,0.00851299018315201,0.00843807667036652
Lipids,control,A,25,,0.0186076249268905,0.0133393855626565
Lipids,control,B,10,,0.00156835658277941,-0.00105169693541352
Lipids,control,B,17.5,,-0.000415891864269859,0.0006775187565948
Lipids,control,B,25,,0.00300753094801378,-0.000152217872292853
Lipids,weekly flushing,A,10,,0.00929392833618096,0.000956509542859365
Lipids,weekly flushing,A,17.5,,0.00993725376327196,0.00328663102638705
Lipids,weekly flushing,A,25,,0.0111890864784774,0.0127567798141187
Lipids,weekly flushing,B,10,,0.000674489835248876,-0.00165395432756041
Lipids,weekly flushing,B,17.5,,0.00537267720372278,0.000139494070058257
Lipids,weekly flushing,B,25,,0.00282820687278049,0.00117038658768424
Lipids,weekly flushing,C,17.5,,0.00620286127159867,0.00364432157151777
Lipids,weekly flushing,D,17.5,,0.00472133418214002,0.00200735391323057
